 ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Continuous interest rate (after tax), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Per Share Net profit before tax (Yuan ¥), Net Value Growth Rate, Interest Expense Ratio, Borrowing dependency, Net profit before tax/Paid-in capital, Retained Earnings to Total Assets, Total income/Total expense, Net Income to Total Assets, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT),Bankrupt?
0.541321413,0.529310991,0.781569974,0.167502423,0.167502423,0.167502423,0.2149948,0.17172554,0.000434106,0.63401289,0.377008296,0.170778976,0.930539498,0.002241368,0.797743521,0.840205746,0.028425545,0.568218589,0
0.539467946,0.530863537,0.781572641,0.172179849,0.172179849,0.172179849,0.215372979,0.170671085,0.000448181,0.633241325,0.372061787,0.169662921,0.932102119,0.002246707,0.798173898,0.840192796,0.029087604,0.568609256,0
0.548026603,0.544140479,0.781533062,0.177110109,0.177110109,0.177110109,0.212253002,0.171273631,0.000443315,0.632810167,0.373058246,0.17031144,0.934363318,0.002295431,0.80137157,0.840385757,0.028872766,0.56850055,0
0.571631051,0.549226404,0.78163608,0.174876744,0.174876744,0.17791075,0.221612934,0.183927092,0.000463228,0.631229024,0.374405871,0.182128045,0.932853038,0.002293237,0.815731085,0.841573617,0.026907691,0.565658865,0
0.562690798,0.541517212,0.781950186,0.185074375,0.185074375,0.185074375,0.220667486,0.176621225,0.000461531,0.631236901,0.372736159,0.175680567,0.942100288,0.002513785,0.811426301,0.840978536,0.027016825,0.566045079,0
0.566888356,0.559077038,0.781676501,0.186970629,0.186970629,0.186970629,0.225489269,0.181215636,0.000447207,0.631308475,0.373331126,0.18026544,0.945429866,0.002300537,0.81356776,0.841197467,0.0269856,0.565941458,0
0.575883123,0.576422721,0.781621624,0.178964224,0.178964224,0.178964224,0.228325612,0.183023273,0.000464077,0.631594088,0.377794503,0.182022472,0.938496381,0.002420103,0.816256592,0.841802241,0.027130516,0.566383205,0
0.553423463,0.552920392,0.781655308,0.174413215,0.174413215,0.174413215,0.222842016,0.177525043,0.000451799,0.631025602,0.371372877,0.176525149,0.935180058,0.00225333,0.807572629,0.84082036,0.026877363,0.565538444,0
0.54900785,0.538947481,0.781683238,0.187097046,0.187097046,0.187097046,0.220572941,0.176922498,0.000448929,0.630616704,0.369637181,0.175929417,0.94055514,0.002307992,0.806666538,0.840770515,0.026792271,0.565163703,0
0.563508504,0.545853632,0.781610396,0.185200792,0.185200792,0.185200792,0.222842016,0.182646682,0.000456316,0.630916357,0.370670547,0.181652967,0.937669899,0.002298718,0.813580403,0.841274522,0.026862286,0.565476168,0
0.563344963,0.57235398,0.781642255,0.178753529,0.178753529,0.178753529,0.225772903,0.181065,0.000453596,0.631849564,0.375735602,0.180122163,0.937543557,0.002270799,0.809900026,0.84128167,0.027169552,0.566486947,0
0.550534235,0.539804058,0.781601694,0.185411487,0.185411487,0.185411487,0.219532949,0.175340815,0.000449154,0.63399611,0.388924428,0.174368449,0.939119704,0.002259442,0.799841684,0.840598891,0.028758633,0.568436518,0
0.559747056,0.549172868,0.781582887,0.172516961,0.172516961,0.172516961,0.218492956,0.176093997,0.000455318,0.633433789,0.38553915,0.175152703,0.932966188,0.00226804,0.802637951,0.840860319,0.028520302,0.568285889,0
0.527202355,0.522511912,0.781507378,0.159538157,0.159538157,0.159538157,0.212442091,0.166754538,0.000432809,0.617627841,0.378099816,0.165794435,0.9211574,0.002183842,0.78812564,0.839285132,0.02574873,0.19863179,0
0.56154601,0.568178168,0.781671027,0.179427753,0.179427753,0.179427753,0.223882008,0.180387136,0.000445885,0.631300941,0.372056195,0.179413317,0.941752414,0.002283234,0.811328898,0.841074766,0.026953884,0.565830777,0
0.564871348,0.568178168,0.781644361,0.178669251,0.178669251,0.178669251,0.221612934,0.17850418,0.000461606,0.631138615,0.371134666,0.177550713,0.937410454,0.00234534,0.812826429,0.840991944,0.026911796,0.565674689,0
0.559692543,0.550671878,0.781659519,0.179385614,0.179385614,0.179385614,0.221896568,0.178353544,0.000459909,0.631356077,0.371953306,0.177354649,0.936300905,0.002379095,0.809661363,0.840973026,0.026991378,0.56596102,0
0.516572176,0.505594518,0.781277061,0.156799124,0.156799124,0.156799124,0.200151272,0.158017624,0.000401067,0.625067807,0.392383517,0.157016816,0.920882488,0.002028516,0.777094466,0.837052996,0.026050062,0.553328486,1
0.538813781,0.517051234,0.781515799,0.148202773,0.148202773,0.148202773,0.206013047,0.167959629,0.000401291,0.638738853,0.405124999,0.167310158,0.91282594,0.002196441,0.791982245,0.839162226,0.022761802,0.57198855,1
0.057184911,0.054820922,0.780926604,0.120011799,0.120011799,0.120011799,0.084239387,0.067485125,0.000154243,0.630522527,0.262035237,0.072453058,0.841966378,0.002003273,0.525650952,1,0.026763138,0.565021156,1
0.467291758,0.453450399,0.781353132,0.151531752,0.151531752,0.151531752,0.175002364,0.141372298,0.000350634,0.629853358,0.391787431,0.140351406,0.915031112,0.002107568,0.746585997,0.831081516,0.026590329,0.563976127,1
0.544319669,0.536431286,0.781574045,0.156082761,0.156082761,0.156082761,0.215656613,0.17089704,0.00044883,0.634265626,0.38224446,0.169836362,0.903544494,0.002234856,0.797585081,0.840279753,0.032352933,0.569392706,0
0.550152638,0.540339419,0.78158808,0.183388816,0.183388816,0.183388816,0.22095112,0.176545906,0.000406108,0.631739976,0.37787167,0.174609758,0.936347817,0.002282743,0.804705531,0.840817533,0.027157284,0.566454958,0
0.533416921,0.527811981,0.781571238,0.181281868,0.181281868,0.181281868,0.215089345,0.170972358,0.000446284,0.631123204,0.369637181,0.16998718,0.942043664,0.00223773,0.797389747,0.840118267,0.026881827,0.565556569,0
0.518916267,0.547459714,0.781577834,0.168176647,0.168176647,0.168176647,0.218871135,0.164645628,0.000417661,0.628856112,0.374532246,0.163690521,0.928823726,0.002192329,0.786042687,0.839257203,0.026487426,0.563125995,0
0.547863061,0.516141121,0.781508501,0.176098774,0.176098774,0.176098774,0.210551196,0.173683814,0.000438973,0.632257435,0.37558015,0.172664203,0.934188186,0.002268437,0.802978469,0.840577257,0.027370193,0.56694204,0
0.552932839,0.540125274,0.781598746,0.165648308,0.165648308,0.165648308,0.21698024,0.17217745,0.000451949,0.632716333,0.379104104,0.17114094,0.931638648,0.002258968,0.802836624,0.840696027,0.028528508,0.568291503,0
0.526766245,0.5150704,0.781527027,0.171042097,0.171042097,0.171042097,0.210645741,0.167432402,0.000436677,0.624429802,0.378454336,0.166706885,0.929574206,0.002195138,0.790519359,0.839500564,0.025818056,0.506546641,0
0.540558221,0.52877563,0.78157601,0.174160381,0.174160381,0.174160381,0.215751158,0.171800859,0.000444487,0.631935179,0.372762999,0.170786517,0.933718216,0.002265075,0.800033865,0.840327583,0.02730973,0.566817101,0
0.514500654,0.52797259,0.781479869,0.172769795,0.172769795,0.172769795,0.20884939,0.165248174,0.000432659,0.629610553,0.373364677,0.164278712,0.927521695,0.002062391,0.784318912,0.839279504,0.026551968,0.563684231,0
0.5539686,0.551474918,0.78164015,0.176225191,0.176225191,0.176225191,0.222558381,0.177901634,0.000445985,0.631116012,0.374562441,0.176841867,0.932855984,0.002271218,0.808047123,0.840949758,0.026914093,0.565683495,0
0.545900567,0.53027464,0.781771379,0.186085711,0.186085711,0.186085711,0.218114777,0.173156587,0.000447307,0.631384844,0.372542682,0.172151421,0.941790765,0.002430834,0.803444357,0.840487618,0.027082289,0.566246743,0
0.549062364,0.545532416,0.781597904,0.186844212,0.186844212,0.186844212,0.220100217,0.176922498,0.000446134,0.631979356,0.377393012,0.175944499,0.940692863,0.002256828,0.802988533,0.840659115,0.027189898,0.566538812,0
0.588148713,0.589217838,0.781634396,0.183515233,0.183515233,0.183515233,0.234943746,0.191082323,0.000466173,0.630925946,0.374286206,0.189993213,0.942619685,0.002553258,0.827984673,0.842318562,0.026870882,0.565511873,0
0.56972307,0.563092243,0.781668361,0.176140913,0.176140913,0.176140913,0.225772903,0.182420728,0.000444512,0.630666703,0.370275765,0.180966745,0.939887837,0.002268783,0.818485753,0.841489101,0.026803341,0.565215833,0
0.546391191,0.537769688,0.781682255,0.187054907,0.187054907,0.187054907,0.219816583,0.176470588,0.000448605,0.630635882,0.369637181,0.175529749,0.940056133,0.002293074,0.805047866,0.840673489,0.02679642,0.565183368,0
0.580680331,0.574281278,0.781671027,0.191268805,0.191268805,0.191268805,0.236078283,0.19078105,0.000455193,0.630678004,0.370900929,0.189088304,0.942446954,0.002365603,0.824062232,0.841955022,0.026806308,0.565229617,0
0.566397732,0.576369185,0.781660501,0.179807003,0.179807003,0.179807003,0.227569254,0.182270091,0.000466323,0.631151286,0.374071481,0.181275922,0.938416026,0.002292506,0.814382786,0.841555087,0.026944775,0.565797914,0
0.54726341,0.535895926,0.781589483,0.188951161,0.188951161,0.188951161,0.218587501,0.174738269,0.000452822,0.634200559,0.388757792,0.173772717,0.939490544,0.002251912,0.798860819,0.840439916,0.028875132,0.568501828,0
0.564816834,0.558862894,0.781617554,0.175677384,0.175677384,0.175677384,0.226907441,0.181290954,0.000466397,0.632020109,0.384182579,0.180295604,0.935860147,0.002326798,0.809426008,0.841654699,0.027327058,0.566853877,0
0.546990842,0.53611007,0.781626676,0.166828199,0.166828199,0.166828199,0.216885695,0.171800859,0.000429814,0.633413241,0.378162444,0.170447176,0.932608836,0.00225382,0.799686702,0.840407766,0.029027307,0.568580178,0
0.582315744,0.582579367,0.781733484,0.186338545,0.186338545,0.186338545,0.232485582,0.189877231,0.000445436,0.63073862,0.371386297,0.187225699,0.947071789,0.002344596,0.825485714,0.842005284,0.026820798,0.565295877,0
0.563126908,0.570159002,0.781663869,0.178247861,0.178247861,0.178247861,0.223598374,0.178428862,0.000461856,0.630946494,0.37081146,0.177437599,0.937759735,0.002369599,0.813768817,0.840999192,0.026872035,0.565516626,0
0.56345399,0.552010279,0.781717624,0.182166786,0.182166786,0.182166786,0.223692919,0.179935226,0.000459235,0.630832454,0.370833827,0.178998567,0.937901496,0.002417257,0.813607337,0.841124226,0.026844441,0.565400272,0
0.492749673,0.482092189,0.78147622,0.158611099,0.158611099,0.158611099,0.198354921,0.156661897,0.00039947,0.629581444,0.381058998,0.155697157,0.920323044,0.002152243,0.769318031,0.836765896,0.02653155,0.563517405,1
0.487080244,0.534611061,0.78158022,0.153385867,0.153385867,0.153385867,0.216507516,0.155607441,0.000423077,0.630162258,0.380509883,0.154596184,0.890634803,0.002168588,0.766035222,0.835834418,0.026664875,0.564474539,0
0.541593982,0.534611061,0.781579097,0.180860478,0.180860478,0.180860478,0.21896568,0.172252768,0.000441418,0.63220949,0.37773523,0.171020285,0.935490858,0.002260198,0.800260527,0.840416734,0.027606168,0.567352425,0
0.534779765,0.527811981,0.781574466,0.181956091,0.181956091,0.181956091,0.215467524,0.17089704,0.000447083,0.63073588,0.369637181,0.16990423,0.942644715,0.002242248,0.798238385,0.840167745,0.026827012,0.56532375,0
0.524204099,0.520477542,0.781555518,0.165859003,0.165859003,0.165859003,0.211118465,0.166151992,0.000431461,0.627381817,0.37784483,0.165138376,0.929281716,0.002195032,0.789635775,0.839459977,0.026352716,0.561585415,0
0.552060619,0.53991113,0.781643799,0.176899414,0.176899414,0.176899414,0.220856576,0.176093997,0.000440395,0.631146491,0.376993757,0.175092376,0.935256306,0.002311605,0.807176089,0.840969421,0.026937995,0.565773133,0
0.541703009,0.53230901,0.781582325,0.167586701,0.167586701,0.167586701,0.215845703,0.170746404,0.000444363,0.633714949,0.380571393,0.169791117,0.932474784,0.002239141,0.798076143,0.840254094,0.030297991,0.569030432,0
0.537232883,0.515016864,0.781538676,0.172601239,0.172601239,0.172601239,0.211402099,0.17089704,0.000437899,0.633548513,0.379165614,0.169851444,0.929809936,0.002240798,0.797369558,0.840184676,0.028796378,0.568458222,0
0.52916485,0.522244231,0.78156436,0.177615777,0.177615777,0.177615777,0.214427531,0.16878813,0.000454819,0.62513493,0.37342395,0.167815399,0.931455733,0.002214404,0.7939996,0.839894355,0.026171925,0.558026903,0
0.512047536,0.531452433,0.781512009,0.16556403,0.16556403,0.16556403,0.209983927,0.165549446,0.000431386,0.629999247,0.373503354,0.164587889,0.926685637,0.002074156,0.783431474,0.83919715,0.026632897,0.564270861,0
0.575937636,0.566893303,0.78167987,0.179048502,0.179048502,0.179048502,0.228892881,0.185508775,0.000452573,0.6307191,0.373316588,0.184435563,0.937256539,0.002315932,0.821700552,0.841884719,0.026817072,0.565279007,0
0.563126908,0.561432625,0.782308643,0.189498968,0.189498968,0.189498968,0.229176515,0.178127589,0.000447108,0.630908138,0.372026,0.176917276,0.948081249,0.002454992,0.813863909,0.841081811,0.026888369,0.565582878,0
0.542956825,0.542213181,0.781590606,0.18570646,0.18570646,0.18570646,0.218871135,0.173683814,0.0004378,0.631772852,0.375376608,0.172701908,0.941712687,0.002250929,0.801531632,0.840489151,0.027212239,0.566594118,0
0.565961622,0.564162964,0.781595378,0.182335342,0.182335342,0.182335342,0.22709653,0.182496046,0.000440095,0.63100026,0.374602702,0.181532313,0.939097145,0.00246822,0.816487687,0.841562417,0.026900931,0.565632566,0
0.586022678,0.5799561,0.781709343,0.180607644,0.180607644,0.180607644,0.232485582,0.186864503,0.0004651,0.630653005,0.370924414,0.185257522,0.94295667,0.002287885,0.827878672,0.842202691,0.026802025,0.565209689,0
0.53281727,0.524064457,0.781576992,0.193586448,0.193586448,0.193586448,0.2149948,0.171574904,0.000469492,0.630686908,0.369637181,0.170597994,0.939296757,0.002237972,0.797257394,0.84011287,0.026799695,0.565198781,0
0.570704317,0.543551582,0.781603939,0.19021533,0.19021533,0.19021533,0.224165642,0.184604956,0.000426396,0.630741017,0.37143886,0.182799186,0.942993144,0.002353544,0.819658694,0.841633707,0.026824352,0.565311855,0
0.571522024,0.57181862,0.781672712,0.182377481,0.182377481,0.182377481,0.229554694,0.187617685,0.000455193,0.63075951,0.373075022,0.186675213,0.941180331,0.002317477,0.820055304,0.841928855,0.026825869,0.565318649,0
0.548190144,0.53557471,0.781613483,0.193375753,0.193375753,0.193375753,0.223692919,0.176093997,0.000455567,0.632532431,0.388174008,0.175130081,0.941691237,0.002272696,0.801809219,0.840837168,0.027873465,0.567707912,0
0.565416485,0.55864875,0.781618817,0.17706797,0.17706797,0.17706797,0.228609246,0.183927092,0.000471488,0.63133279,0.379728149,0.182980167,0.93727788,0.002345796,0.813709224,0.841840223,0.027004288,0.566004087,0
0.549607501,0.53760908,0.781685905,0.16640681,0.16640681,0.16640681,0.219343859,0.174135723,0.000435204,0.631712237,0.378279872,0.172422894,0.934138241,0.002290731,0.804306892,0.840877346,0.02722007,0.566613111,0
0.583296991,0.582579367,0.781720431,0.184947958,0.184947958,0.184947958,0.231351045,0.187617685,0.000459834,0.630687251,0.370081171,0.185928663,0.943543262,0.002343222,0.826247035,0.841891527,0.026809125,0.56524264,0
0.55527693,0.55334868,0.781633694,0.175677384,0.175677384,0.175677384,0.220100217,0.175868042,0.000466447,0.631054027,0.374115097,0.17470779,0.935067187,0.002348308,0.807092788,0.840791674,0.026911276,0.56567269,0
0.555494985,0.544889983,0.781703308,0.180944756,0.180944756,0.180944756,0.221802023,0.177600362,0.000443963,0.630819098,0.371381824,0.176600558,0.937744832,0.00238009,0.809635499,0.840917382,0.026842995,0.565394013,0
0.562254688,0.555329514,0.781607729,0.184695125,0.184695125,0.184695125,0.22511109,0.181516909,0.000473834,0.632880029,0.381969343,0.180544454,0.934494715,0.002291123,0.805041237,0.841229458,0.027821365,0.567645767,1
0.5369058,0.523850313,0.781567167,0.177110109,0.177110109,0.177110109,0.214616621,0.170369812,0.000433008,0.641335735,0.38626273,0.169361285,0.931547845,0.002243898,0.796483203,0.840113834,0.03570033,0.569662937,1
0.582806367,0.559933615,0.781820221,0.220302558,0.220302558,0.220302558,0.237590999,0.190555095,0.000477302,0.631414981,0.377516032,0.18963879,0.940010767,0.002639494,0.821649762,0.842223704,0.026997024,0.565979965,0
0.591419538,0.589271374,0.781837765,0.226244153,0.226244153,0.226244153,0.252434528,0.195300143,0.000484614,0.631347516,0.3767466,0.194329236,0.943071757,0.002599172,0.825518796,0.842508346,0.027064739,0.566194627,0
0.53150894,0.499544944,0.781419518,0.176941553,0.176941553,0.176941553,0.208093032,0.167959629,0.000433408,0.65646498,0.373530195,0.166948194,0.931717332,0.00221301,0.79411053,0.839915446,0.026101246,0.555682113,0
0.50452464,0.497510573,0.781448992,0.176520163,0.176520163,0.176520163,0.201096719,0.156360624,0.000421055,0.629720826,0.374650792,0.155342734,0.924905685,0.002109033,0.777633778,0.838345053,0.026613844,0.564142469,0
0.549171391,0.559505327,0.781612501,0.179722726,0.179722726,0.179722726,0.220383852,0.174060405,0.000447806,0.631660183,0.373875768,0.173101576,0.934534782,0.002288545,0.804214862,0.840668588,0.027163318,0.566470761,0
0.522732229,0.508913753,0.781525483,0.193544309,0.193544309,0.193544309,0.211496644,0.166980493,0.000424075,0.630579718,0.369637181,0.165982958,0.936722179,0.002180106,0.791033964,0.839788159,0.026784149,0.565124759,0
0.534834278,0.532951443,0.781579518,0.18692849,0.18692849,0.18692849,0.216129337,0.170972358,0.000448655,0.630612594,0.369637181,0.170024885,0.932266767,0.002253104,0.79836826,0.840174885,0.02679124,0.565158794,0
0.582479285,0.586594571,0.781703589,0.182208925,0.182208925,0.182208925,0.230594687,0.185734729,0.000458487,0.630809509,0.371724042,0.184797527,0.944796324,0.002691793,0.823788524,0.841691077,0.026837043,0.565368085,0
0.541375927,0.545157664,0.781579097,0.186085711,0.186085711,0.186085711,0.217074785,0.173759132,0.000426895,0.630676977,0.369637181,0.172815021,0.935500775,0.002265522,0.802361524,0.840416165,0.02680573,0.565226937,0
0.570377235,0.54167782,0.781580922,0.180565505,0.180986895,0.180986895,0.215940248,0.179257362,0.000503005,0.631560527,0.376518454,0.178131363,0.935612599,0.002357819,0.812159515,0.841479536,0.027180106,0.566514035,0
0.551951592,0.535253493,0.781632992,0.179301336,0.179301336,0.179301336,0.216696606,0.172102132,0.000454245,0.633124546,0.37533411,0.171073071,0.933508571,0.002306036,0.801425262,0.840446458,0.028934008,0.568533025,0
0.546609246,0.53557471,0.781603238,0.181239729,0.181239729,0.181239729,0.217831143,0.174135723,0.000431162,0.631772168,0.373501117,0.173124199,0.940632554,0.002285664,0.802731335,0.840526611,0.027171077,0.566490886,0
0.410488443,0.429573318,0.780972078,0.156714846,0.156714846,0.156714846,0.181431408,0.1446863,0.0003691,0.630369789,0.376540821,0.143669407,0.896988131,0.00192155,0.719703518,0.833423653,0.026720105,0.564795187,0
0.532272133,0.531452433,0.781501343,0.172643378,0.172643378,0.172643378,0.208282122,0.168562175,0.000420556,0.654476651,0.378010347,0.167589171,0.930078706,0.002212008,0.79239256,0.839698384,0.024330355,0.573989743,0
0.504034017,0.506986455,0.781491378,0.178753529,0.178753529,0.178753529,0.20487851,0.16072908,0.000426495,0.630234175,0.372957594,0.159716462,0.927051004,0.002077176,0.780554329,0.838868677,0.026788158,0.565144055,0
